acc = 1.0000E-04
maxiter = 1000
sigma = 0.5
alpha1 = 0.75
alpha2 = 0.8
presolve = (True, True, None)
scaling = 0

Datei       Rows      Columns   Nonzeros  NetlibFun      Fun            mu        phi       Pred  Iter  Time(s)   Status    
D2Q06C      2172      5167      35674     1.227842E+05   1.227843E+05   8.77E-06  8.17E-04  1     1000  210.74    Maxiter   
D6CUBE      416       6184      43888     3.154917E+02   3.154917E+02   3.08E-05  2.86E-04  4     79    300.47    CrErfolg  
DEGEN2      445       534       4449      -1.435178E+03  -1.435178E+03  7.46E-04  2.92E-04  4     17    358.42    Erfolg    
DEGEN3      1504      1818      26230     -9.872940E+02  -9.872940E+02  6.78E-06  1.52E-05  4     29    1.90      Erfolg    
E226        224       282       2767      -1.875193E+01  -1.875193E+01  1.10E-04  3.23E-05  2     60    237.62    Erfolg    
ETAMACRO    401       688       2489      -7.557152E+02  -7.557152E+02  6.45E-05  1.80E-04  2     33    0.82      Erfolg    
FFFFF800    525       854       6235      5.556796E+05   5.557121E+05   1.48E-07  6.37E-05  1     574   10.05     Erfolg    
FINNIS      498       614       2714      1.727910E+05   1.727911E+05   1.64E-05  3.10E-05  9     43    0.47      Erfolg    
FIT1D       25        1026      14430     -9.146378E+03  -9.146378E+03  5.04E-05  3.97E-06  5     214   4.98      Erfolg    
FIT1P       628       1677      10894     9.146378E+03   9.146378E+03   1.20E-04  1.27E-05  3     119   4.00      Erfolg    
FIT2D       26        10500     138018    -6.846429E+04  -6.846430E+04  1.08E-06  2.15E-06  13    309   495.12    Erfolg    
FIT2P       3001      13525     60784     6.846429E+04   6.846429E+04   1.69E-05  3.15E-05  9     46    97.08     Erfolg    
GANGES      1310      1681      7021      -1.095864E+05  -1.095872E+05  1.94E-07  9.21E-07  17    236   4.92      Erfolg    
GFRD-PNC    617       1092      3467      6.902236E+06   6.902236E+06   3.67E-07  1.06E-06  7     209   1619.34   Erfolg    
GREENBEA    2393      5405      31499     -7.246241E+07  -7.255524E+07  6.75E-04  1.40E-04  2     207   36.72     Erfolg    
GREENBEB    2393      5405      31499     -4.302148E+06  -4.302260E+06  1.72E-05  7.30E-05  1     279   49.98     Erfolg    
GROW15      301       645       5665      -1.068709E+08  -1.068709E+08  4.41E-03  8.58E-04  0     133   2.08      Erfolg    
GROW22      441       946       8318      -1.608343E+08  -1.608343E+08  3.03E-02  2.50E-02  0     94    1.62      Erfolg    
GROW7       141       301       2633      -4.778781E+07  -4.778781E+07  7.24E-03  7.61E-04  0     87    1.14      Erfolg    
ISRAEL      175       142       2358      -8.966448E+05  -8.966448E+05  2.98E-04  2.47E-04  4     744   7.94      Erfolg    
KB2         44        41        291       -1.749900E+03  -1.749900E+03  9.30E-05  1.96E-06  5     374   1.18      Erfolg    
LOTFI       154       308       1086      -2.526471E+01  -2.526472E+01  6.41E-06  5.25E-05  4     181   1.39      Erfolg    
MAROS-R7    3137      9408      151120    1.497185E+06   1.497185E+06   7.95E-06  3.00E-07  7     197   97.03     Erfolg    
MAROS       847       1443      10006     -5.806374E+04  -5.806372E+04  1.05E-06  4.45E-05  0     991   137.52    Erfolg    
MODSZK1     688       1620      4158      3.206197E+02   3.101754E+02   3.73E-05  1.18E-04  1     30    0.67      Erfolg    
PEROLD      626       1376      6026      -9.380758E+03  -1.003169E+04  1.40E-05  8.52E-04  2     1000  36.36     Maxiter   
PILOT-JA    941       1988      14706     -6.113134E+03  -5.959999E+03  1.51E-03  2.17E+00  0     1000  220.43    Maxiter   
PILOT-WE    723       2789      9218      -2.720103E+06  -2.722312E+06  2.45E-02  3.53E+00  1     1000  519.57    Maxiter   
PILOT       1442      3652      43220     -5.574043E+02  -5.575023E+02  1.00E-06  7.70E-05  0     343   59.32     Erfolg    
PILOT4      411       1000      5145      -2.581139E+03  -2.504359E+03  1.49E-04  2.41E-01  0     1000  25.97     Maxiter   
PILOT87     2031      4883      73804     3.017107E+02   3.016880E+02   1.90E-06  9.94E-05  0     183   63.59     Erfolg    
PILOTNOV    976       2172      13129     -4.497276E+03  -4.497276E+03  6.83E-07  3.30E-06  1     422   108.14    Erfolg    
QAP12       3193      8856      44244     5.228944E+02   5.227553E+02   4.17E-05  8.45E-03  2     1000  480.65    Maxiter   
QAP15       6331      22275     110700    1.040994E+03   1.040171E+03   6.29E-05  9.40E-03  1     1000  2366.58   Maxiter   
QAP8        913       1632      8304      2.035000E+02   2.035000E+02   1.23E-07  9.39E-07  8     25    0.84      Erfolg    
RECIPE      92        180       752       -2.666160E+02  -2.666160E+02  9.08E-06  1.83E-05  3     17    0.14      Erfolg    
SC105       106       103       281       -5.220206E+01  -5.220212E+01  5.17E-08  4.80E-08  7     91    0.46      Erfolg    
SC205       206       203       552       -5.220206E+01  -5.220206E+01  3.75E-07  7.08E-07  2     148   1.26      Erfolg    
SC50A       51        48        131       -6.457508E+01  -6.457508E+01  1.18E-04  2.17E-04  5     27    0.08      Erfolg    
SC50B       51        48        119       -7.000000E+01  -7.000000E+01  2.94E-04  6.93E-06  3     19    0.05      Erfolg    
SCAGR25     472       500       2029      -1.475343E+07  -1.475343E+07  2.32E-05  1.98E-08  6     69    1.18      Erfolg    
SCAGR7      130       140       553       -2.331389E+06  -2.331390E+06  3.05E-06  9.51E-09  8     43    0.29      Erfolg    
SCFXM1      331       457       2612      1.841676E+04   1.841676E+04   3.30E-06  6.51E-06  6     108   1.56      Erfolg    
SCFXM2      661       914       5229      3.666026E+04   3.666026E+04   2.98E-06  6.19E-06  5     96    1.44      Erfolg    
SCFXM3      991       1371      7846      5.490125E+04   5.490125E+04   4.24E-04  3.42E-04  2     109   2.80      Erfolg    
SCORPION    389       358       1708      1.878125E+03   1.878125E+03   2.22E-04  4.45E-04  5     53    0.49      Erfolg    
SCRS8       491       1169      4029      9.043000E+02   9.042970E+02   2.60E-06  6.12E-06  8     87    1.31      Erfolg    
SCSD1       78        760       3148      8.666667E+00   8.666667E+00   5.02E-04  4.00E-04  2     7     0.15      Erfolg    
SCSD6       148       1350      5666      5.050000E+01   5.050000E+01   6.80E-05  1.19E-04  6     15    0.21      Erfolg    
SCSD8       398       2750      11334     9.050000E+02   9.050000E+02   1.08E-04  1.60E-04  5     6     0.34      Erfolg    
SCTAP1      301       480       2052      1.412250E+03   1.412250E+03   6.38E-05  1.37E-04  5     24    0.34      Erfolg    
SCTAP2      1091      1880      8124      1.724807E+03   1.724807E+03   3.04E-05  7.81E-05  6     16    0.59      Erfolg    
SCTAP3      1481      2480      10734     1.424000E+03   1.424000E+03   8.72E-06  3.61E-05  7     13    0.88      Erfolg    
SHARE1B     118       225       1182      -7.658932E+04  -7.658931E+04  1.01E-06  1.04E-08  8     491   3.22      Erfolg    
SHARE2B     97        79        730       -4.157322E+02  -4.157322E+02  5.16E-05  4.47E-05  7     13    0.06      Erfolg    
SHELL       537       1775      4900      1.208825E+09   1.208825E+09   3.87E-02  1.46E-02  4     28    0.63      Erfolg    
SHIP04L     403       2118      8450      1.793325E+06   1.793325E+06   1.07E-05  2.11E-05  10    91    2.63      Erfolg    
SHIP04S     403       1458      5810      1.798715E+06   1.798715E+06   3.24E-06  3.42E-06  7     78    1.15      Erfolg    
SHIP08L     779       4283      17085     1.909055E+06   1.909055E+06   7.41E-04  6.00E-04  4     211   19.65     Erfolg    
SHIP08S     779       2387      9501      1.920098E+06   1.920098E+06   1.57E-04  3.09E-04  10    147   4.15      Erfolg    
SHIP12L     1152      5427      21597     1.470188E+06   1.470188E+06   8.44E-05  1.67E-04  8     194   26.41     Erfolg    
SHIP12S     1152      2763      10941     1.489236E+06   1.489236E+06   3.66E-04  3.14E-04  8     105   3.43      Erfolg    
SIERRA      1228      2036      9252      1.539436E+07   1.539436E+07   1.51E-04  2.98E-04  2     32    3.34      Erfolg    
STAIR       357       467       3857      -2.512670E+02  -2.512669E+02  2.03E-06  7.93E-07  5     332   6.54      Erfolg    
STANDATA    360       1075      3038      1.257699E+03   1.257700E+03   1.37E-02  1.64E-03  1     14    0.22      Erfolg    
STANDMPS    468       1075      3686      1.406017E+03   1.406018E+03   1.84E-03  3.12E-04  1     22    0.33      Erfolg    
STOCFOR1    118       111       474       -4.113198E+04  -4.113198E+04  6.43E-03  1.67E-03  4     42    0.18      Erfolg    
STOCFOR2    2158      2031      9492      -3.902441E+04  -3.902441E+04  1.22E-05  2.42E-05  7     32    1.56      Erfolg    
STOCFOR3    16676     15695     74004     -3.997666E+04  -3.997678E+04  1.66E-05  4.73E-05  4     77    156.82    Erfolg    
TRUSS       1001      8806      36642     4.588158E+05   4.588158E+05   5.50E-04  4.36E-04  7     28    11.66     Erfolg    
TUFF        334       587       4523      2.921478E-01   2.923017E-01   1.90E-06  8.56E-06  6     16    0.32      Erfolg    
VTP-BASE    199       203       914       1.298315E+05   1.298315E+05   1.33E-07  6.18E-05  4     208   2.09      Erfolg    
WOOD1P      245       2594      70216     1.442902E+00   1.442890E+00   2.17E-05  3.26E-05  1     36    2.34      Erfolg    
WOODW       1099      8405      37478     1.304476E+00   1.304476E+00   3.16E-06  6.01E-06  1     122   40.14     Erfolg    
