acc = 1.0000E-04
maxiter = 1000
sigma = 0.5
alpha1 = 0.75
alpha2 = 0.8
presolve = (True, True, None)
scaling = 0

Datei       Rows      Columns   Nonzeros  NetlibFun      Fun            mu        phi       Pred  Iter  Time(s)   Status    
DEGEN2      445       534       4449      -1.435178E+03  -1.435178E+03  2.86E-04  1.90E-04  7     15    0.44      Erfolg    
DEGEN3      1504      1818      26230     -9.872940E+02  -9.872940E+02  3.07E-04  2.09E-04  1     13    0.94      Erfolg    
E226        224       282       2767      -1.875193E+01  -1.875193E+01  5.01E-05  1.18E-05  1     69    0.96      Erfolg    
ETAMACRO    401       688       2489      -7.557152E+02  -7.557152E+02  1.44E-05  1.96E-05  3     40    1.45      Erfolg    
FFFFF800    525       854       6235      5.556796E+05   5.556765E+05   5.89E-08  3.56E-06  9     310   6.03      Erfolg    
FINNIS      498       614       2714      1.727910E+05   1.727916E+05   3.46E-05  5.43E-05  2     45    0.65      Erfolg    
FIT1D       25        1026      14430     -9.146378E+03  -9.146378E+03  5.50E-06  5.27E-09  7     124   3.48      Erfolg    
FIT1P       628       1677      10894     9.146378E+03   9.146378E+03   4.44E-04  1.37E-04  6     91    3.65      Erfolg    
FIT2D       26        10500     138018    -6.846429E+04  -6.846429E+04  2.54E-06  5.09E-06  9     210   348.13    Erfolg    
FIT2P       3001      13525     60784     6.846429E+04   6.846429E+04   9.77E-05  1.91E-04  9     58    121.78    Erfolg    
GANGES      1310      1681      7021      -1.095864E+05  -1.095616E+05  5.55E-08  1.21E-05  14    346   8.96      Erfolg    
GFRD-PNC    617       1092      3467      6.902236E+06   6.902236E+06   1.80E-03  3.47E-03  1     142   2.96      Erfolg    
GREENBEA    2393      5405      31499     -7.246241E+07  -7.247137E+07  3.78E-01  3.10E+01  1     100   19.89     CrMaxiter 
GREENBEB    2393      5405      31499     -4.302148E+06  -4.302260E+06  4.77E-06  9.90E-05  1     325   65.62     Erfolg    
GROW15      301       645       5665      -1.068709E+08  -1.068709E+08  4.87E-03  1.91E-03  0     113   2.13      Erfolg    
GROW22      441       946       8318      -1.608343E+08  -1.608343E+08  2.93E-02  2.80E-03  0     67    1.50      Erfolg    
GROW7       141       301       2633      -4.778781E+07  -4.778781E+07  2.60E-03  2.57E-05  0     111   1.70      Erfolg    
ISRAEL      175       142       2358      -8.966448E+05  -8.966448E+05  3.07E-05  2.88E-05  6     241   2.68      Erfolg    
KB2         44        41        291       -1.749900E+03  -1.749900E+03  4.24E-04  3.89E-05  4     422   1.49      Erfolg    
LOTFI       154       308       1086      -2.526471E+01  -2.526475E+01  1.28E-07  8.85E-05  2     297   3.12      Erfolg    
MAROS-R7    3137      9408      151120    1.497185E+06   1.497185E+06   4.02E-07  2.65E-10  6     173   87.60     Erfolg    
MAROS       847       1443      10006     -5.806374E+04  -5.806373E+04  9.54E-06  1.60E-05  0     251   9.36      Erfolg    
MODSZK1     688       1620      4158      3.206197E+02   3.199996E+02   2.17E-05  4.06E-05  3     28    0.70      Erfolg    
PEROLD      626       1376      6026      -9.380758E+03  -1.007355E+04  1.25E-05  3.79E-04  3     1000  36.30     Maxiter   
PILOT-JA    941       1988      14706     -6.113134E+03  -6.073128E+03  8.76E-04  4.47E-01  1     1000  65.67     Maxiter   
PILOT-WE    723       2789      9218      -2.720103E+06  -2.720108E+06  5.19E-05  3.73E-05  1     741   46.90     Erfolg    
PILOT       1442      3652      43220     -5.574043E+02  -5.574970E+02  1.42E-06  9.11E-05  0     188   37.30     Erfolg    
PILOT4      411       1000      5145      -2.581139E+03  -2.542329E+03  1.14E-04  7.14E-02  0     1000  27.91     Maxiter   
PILOT87     2031      4883      73804     3.017107E+02   3.016944E+02   1.43E-06  9.22E-05  0     122   45.75     Erfolg    
PILOTNOV    976       2172      13129     -4.497276E+03  -4.497276E+03  7.36E-08  3.15E-05  7     401   19.94     Erfolg    
QAP12       3193      8856      44244     5.228944E+02   5.228841E+02   1.57E-05  2.11E-03  3     1000  543.57    Maxiter   
QAP15       6331      22275     110700    1.040994E+03   1.040908E+03   3.00E-05  3.62E-03  2     1000  2572.10   Maxiter   
QAP8        913       1632      8304      2.035000E+02   2.035000E+02   3.81E-05  7.63E-05  6     8     0.27      Erfolg    
RECIPE      92        180       752       -2.666160E+02  -2.666160E+02  9.32E-05  1.87E-04  4     12    90.88     Erfolg    
SC105       106       103       281       -5.220206E+01  -5.220206E+01  7.34E-06  1.44E-05  6     85    324.42    Erfolg    
SC205       206       203       552       -5.220206E+01  -5.220206E+01  3.52E-06  2.92E-06  3     288   2.45      Erfolg    
SC50A       51        48        131       -6.457508E+01  -6.457508E+01  2.46E-04  2.12E-04  4     31    0.17      Erfolg    
SC50B       51        48        119       -7.000000E+01  -7.000000E+01  4.30E-05  1.49E-07  3     23    0.07      Erfolg    
SCAGR25     472       500       2029      -1.475343E+07  -1.475343E+07  3.93E-05  5.25E-08  7     83    1.63      Erfolg    
SCAGR7      130       140       553       -2.331389E+06  -2.331390E+06  2.39E-05  2.85E-07  6     26    0.12      Erfolg    
SCFXM1      331       457       2612      1.841676E+04   1.841676E+04   1.25E-05  2.58E-05  8     218   4.26      Erfolg    
SCFXM2      661       914       5229      3.666026E+04   3.666026E+04   1.21E-05  2.43E-05  9     120   1.80      Erfolg    
SCFXM3      991       1371      7846      5.490125E+04   5.490125E+04   2.26E-04  6.84E-05  4     95    2.64      Erfolg    
SCORPION    389       358       1708      1.878125E+03   1.878125E+03   6.55E-05  5.43E-05  5     54    0.49      Erfolg    
SCRS8       491       1169      4029      9.043000E+02   9.042970E+02   7.75E-07  2.01E-06  7     57    1.68      Erfolg    
SCSD1       78        760       3148      8.666667E+00   8.666667E+00   1.12E-04  8.53E-05  4     7     0.19      Erfolg    
SCSD6       148       1350      5666      5.050000E+01   5.050000E+01   1.12E-05  2.21E-05  5     9     0.13      Erfolg    
SCSD8       398       2750      11334     9.050000E+02   9.050000E+02   2.15E-04  3.94E-04  5     6     0.38      Erfolg    
SCTAP1      301       480       2052      1.412250E+03   1.412250E+03   1.71E-04  1.15E-04  3     23    0.35      Erfolg    
SCTAP2      1091      1880      8124      1.724807E+03   1.724807E+03   1.35E-04  3.93E-05  1     21    0.74      Erfolg    
SCTAP3      1481      2480      10734     1.424000E+03   1.424000E+03   3.85E-05  2.98E-05  3     16    1.00      Erfolg    
SHARE1B     118       225       1182      -7.658932E+04  -7.658922E+04  2.14E-06  4.11E-08  10    664   5.64      Erfolg    
SHARE2B     97        79        730       -4.157322E+02  -4.157322E+02  5.12E-05  4.29E-05  4     17    0.25      Erfolg    
SHELL       537       1775      4900      1.208825E+09   1.208825E+09   2.48E-02  5.53E-03  4     27    0.76      Erfolg    
SHIP04L     403       2118      8450      1.793325E+06   1.793325E+06   1.51E-04  9.26E-05  3     128   4.30      Erfolg    
SHIP04S     403       1458      5810      1.798715E+06   1.798715E+06   1.19E-03  9.45E-04  3     102   1.79      Erfolg    
SHIP08L     779       4283      17085     1.909055E+06   1.909055E+06   8.10E-04  6.52E-04  4     197   21.14     Erfolg    
SHIP08S     779       2387      9501      1.920098E+06   1.920098E+06   2.68E-03  9.60E-04  3     87    2.49      Erfolg    
SHIP12L     1152      5427      21597     1.470188E+06   1.470188E+06   4.31E-04  3.54E-04  3     190   28.80     Erfolg    
SHIP12S     1152      2763      10941     1.489236E+06   1.489236E+06   1.37E-03  5.20E-04  3     111   3.55      Erfolg    
SIERRA      1228      2036      9252      1.539436E+07   1.539436E+07   1.73E-04  1.03E-04  1     38    4.41      Erfolg    
STAIR       357       467       3857      -2.512670E+02  -2.512670E+02  2.08E-05  4.16E-05  7     303   2495.94   Erfolg    
STANDATA    360       1075      3038      1.257699E+03   1.257700E+03   1.06E-02  1.47E-03  1     22    0.38      Erfolg    
STANDMPS    468       1075      3686      1.406017E+03   1.406017E+03   6.70E-04  1.48E-04  1     26    0.49      Erfolg    
STOCFOR1    118       111       474       -4.113198E+04  -4.113198E+04  1.91E-03  3.17E-03  5     42    0.23      Erfolg    
STOCFOR2    2158      2031      9492      -3.902441E+04  -3.902441E+04  1.39E-04  5.70E-05  2     23    1.38      Erfolg    
STOCFOR3    16676     15695     74004     -3.997666E+04  -3.997678E+04  9.83E-06  3.05E-06  4     64    132.22    Erfolg    
TRUSS       1001      8806      36642     4.588158E+05   4.588158E+05   1.47E-03  5.24E-04  4     39    279.05    Erfolg    
TUFF        334       587       4523      2.921478E-01   2.923065E-01   1.81E-05  4.88E-05  5     9     0.65      Erfolg    
VTP-BASE    199       203       914       1.298315E+05   1.298315E+05   2.92E-06  2.64E-05  5     180   2.10      Erfolg    
WOOD1P      245       2594      70216     1.442902E+00   1.442883E+00   6.59E-05  6.97E-05  1     24    1.85      Erfolg    
WOODW       1099      8405      37478     1.304476E+00   1.304476E+00   9.65E-06  1.82E-05  1     76    33.76     Erfolg    
